event_id,start_date,end_date,duration_days,max_intensity,mean_intensity,cumulative_intensity,year
1,1982-12-22,1982-12-26,5,1.2044623666666663,1.0800526400000003,5.400263200000001,1982
2,1983-01-12,1983-02-02,22,1.4901148833333338,1.0987929378787882,24.17344463333334,1983
3,1983-02-06,1983-03-19,42,1.4285585166666674,1.1247441714285713,47.239255199999995,1983
4,1983-08-12,1983-08-16,5,0.9150376333333341,0.7950874466666669,3.9754372333333343,1983
5,1983-08-18,1983-09-07,21,1.8722061666666683,1.26737850952381,26.614948700000006,1983
6,1983-09-09,1983-09-13,5,1.571727533333334,1.313843213333333,6.569216066666666,1983
7,1983-09-15,1983-10-22,38,2.0391422000000006,1.5018651245614036,57.07087473333334,1983
8,1983-10-25,1983-11-29,36,2.1682669666666676,1.686750045833333,60.72300164999999,1983
9,1984-01-31,1984-02-05,6,1.3891389499999995,1.0625141444444448,6.375084866666668,1984
10,1984-08-26,1984-08-30,5,1.5447034333333356,1.3326803133333336,6.663401566666668,1984
11,1984-09-04,1984-09-10,7,1.5106940000000009,1.2240986380952386,8.56869046666667,1984
12,1984-10-08,1984-10-13,6,1.2874420666666708,1.1245462055555564,6.747277233333339,1984
13,1986-03-29,1986-04-02,5,1.1523086166666676,1.069276606666667,5.3463830333333355,1986
14,1989-04-17,1989-04-23,7,1.042954166666668,0.8293473547619052,5.8054314833333365,1989
15,1989-04-27,1989-05-05,9,1.343403150000002,1.2023098425925924,10.820788583333332,1989
16,1989-12-18,1990-01-01,15,1.2024663666666662,1.0278920499999997,15.418380749999997,1989
17,1990-07-16,1990-07-22,7,1.4996599500000016,1.1859881047619045,8.301916733333332,1990
18,1990-09-11,1990-09-17,7,1.1372324666666636,1.0660396428571413,7.462277499999988,1990
19,1990-09-21,1990-09-28,8,1.443182499999999,1.3227462041666675,10.58196963333334,1990
20,1992-02-24,1992-03-06,11,1.3455234999999988,1.0839032015151513,11.922935216666664,1992
21,1992-03-21,1992-03-25,5,1.2113394499999988,1.1056512566666665,5.528256283333333,1992
22,1992-04-01,1992-04-06,6,1.0945653666666662,1.005992127777778,6.035952766666668,1992
23,1992-04-08,1992-05-20,43,2.144356616666668,1.5241578945736436,65.53878946666667,1992
24,1992-05-22,1992-06-08,18,1.6951673666666682,1.4937816064814822,26.88806891666668,1992
25,1992-06-24,1992-07-24,31,1.9008041333333345,1.4601945881720435,45.26603223333335,1992
26,1992-10-14,1992-11-08,26,1.5189539666666647,1.1725787173076923,30.487046649999996,1992
27,1992-11-12,1992-11-28,17,1.281006716666667,1.041641480392157,17.70790516666667,1992
28,1992-12-09,1992-12-14,6,0.9717044500000007,0.9076445833333336,5.445867500000002,1992
29,1993-05-20,1993-06-15,27,2.0424565333333344,1.663811654320988,44.92291466666668,1993
30,1993-06-18,1993-06-27,10,1.5214778333333339,1.2520722649999998,12.520722649999998,1993
31,1995-03-10,1995-04-07,29,1.411867299999999,1.1843622413793107,34.34650500000001,1995
32,1995-12-01,1995-12-21,21,1.4241474499999995,1.1026455182539676,23.15555588333332,1995
33,1996-01-07,1996-01-15,9,1.267985116666667,1.070498775925926,9.634488983333332,1996
34,1996-01-17,1996-01-21,5,0.9473677333333335,0.9037068700000009,4.518534350000005,1996
35,1996-02-06,1996-02-23,18,1.5613059833333338,1.1609925833333332,20.8978665,1996
36,1996-03-07,1996-03-12,6,1.227723750000001,1.0505279333333333,6.3031676,1996
37,1996-04-05,1996-04-27,23,1.2897486999999987,0.9484233239130435,21.81373645,1996
38,1996-05-10,1996-05-17,8,1.5732135166666659,1.2995828750000007,10.396663000000006,1996
39,1997-05-14,1997-06-06,24,2.3953145166666676,1.8486058312500002,44.36653995,1997
40,1997-06-28,1997-07-06,9,1.0407834333333312,0.8795456462962962,7.915910816666665,1997
41,1997-07-26,1997-08-01,7,0.9706291333333326,0.8324924428571424,5.827447099999997,1997
42,1997-08-08,1997-10-20,74,2.1762411666666672,1.5522281342342346,114.86488193333335,1997
43,1997-10-23,1997-10-28,6,1.1408202000000003,0.9651507111111108,5.790904266666665,1997
44,1997-10-30,1998-02-27,121,1.9507287333333352,1.4692871487603305,177.78374499999998,1997
45,1998-03-22,1998-03-26,5,1.2338954500000003,1.1488611766666676,5.744305883333338,1998
46,1998-06-14,1998-06-23,10,1.290666316666666,1.2102296983333336,12.102296983333336,1998
47,2001-07-01,2001-07-08,8,1.0623698333333351,0.9696728437500006,7.757382750000005,2001
48,2003-08-01,2003-08-13,13,1.1610198333333344,1.0122811128205127,13.159654466666666,2003
49,2003-08-21,2003-08-25,5,1.0045315000000024,0.8673199933333336,4.336599966666668,2003
50,2005-04-30,2005-05-13,14,1.5810028833333334,1.3140204047619046,18.396285666666664,2005
51,2006-07-24,2006-08-02,10,1.3854094333333364,1.0486875933333333,10.486875933333334,2006
52,2006-08-05,2006-08-11,7,1.4212336000000008,1.1387052857142845,7.970936999999992,2006
53,2009-06-07,2009-06-18,12,1.8399521833333328,1.4669144902777784,17.60297388333334,2009
54,2012-12-03,2012-12-08,6,0.9766960333333348,0.8955301361111113,5.373180816666668,2012
55,2014-05-13,2014-05-17,5,1.8663442333333347,1.5068495266666677,7.534247633333338,2014
56,2014-06-21,2014-08-04,45,2.042754366666667,1.1778918388888888,53.005132749999994,2014
57,2014-08-07,2014-09-04,29,1.832684433333334,1.2825666712643673,37.19443346666665,2014
58,2014-09-10,2015-04-29,232,2.8620719,1.9942704298132183,462.6707397166667,2015
59,2015-06-09,2015-06-15,7,1.3148738000000026,1.2052657309523813,8.436860116666669,2015
60,2015-06-20,2015-11-19,153,3.2274493999999976,2.2216898405228758,339.9185456,2015
61,2015-11-21,2015-12-25,35,1.6947013833333315,1.2132388642857144,42.46336025,2015
62,2016-01-18,2016-01-30,13,1.1173808166666674,0.9551557269230776,12.417024450000008,2016
63,2016-02-06,2016-03-27,50,1.6816171166666667,1.3257304443333333,66.28652221666667,2016
64,2016-04-03,2016-04-25,23,2.4548241666666666,1.5805567666666673,36.35280563333335,2016
65,2016-05-09,2016-05-16,8,1.3276382333333334,1.0703410583333335,8.562728466666668,2016
