date,sst,year,month,oni,enso_phase
2023-12-01,16.300983322580645,2023,12,2.06,El Niño
2024-01-01,15.326879016129032,2024,1,1.92,El Niño
2024-02-01,15.175743482758621,2024,2,1.62,El Niño
2024-03-01,15.088170693548387,2024,3,1.26,El Niño
2024-04-01,14.7059602,2024,4,0.82,El Niño
2024-05-01,14.860421629032258,2024,5,0.49,Neutral
2024-06-01,15.526527316666666,2024,6,0.22,Neutral
2024-07-01,17.14869793548387,2024,7,0.08,Neutral
2024-08-01,17.965761193548385,2024,8,-0.07,Neutral
2024-09-01,18.50632426666667,2024,9,-0.17,Neutral
2024-10-01,17.92577364516129,2024,10,-0.21,Neutral
2024-11-01,16.40343075,2024,11,-0.3,Neutral
2024-12-01,15.596110822580647,2024,12,-0.42,Neutral
