fold,rmse,mae
1,0.742383224362952,0.6134565913470705
2,0.47953449626435635,0.4150410736747419
3,0.5360378316984715,0.416785941072363
4,0.6104879717275558,0.5084860404996115
5,0.5133605642718456,0.4057304091012641
