enso_phase,count,mean,std,min,max
El Niño,143,0.4731691941194469,0.8066669710022146,-1.2285519083333332,2.6671899322580646
La Niña,144,-0.09349552140229415,0.6556005972191752,-1.515990704301075,1.686503609677419
Neutral,229,0.11796684849154371,0.5342759556920049,-1.061577317204301,1.625108488888889
