model,rmse,mae,r2
Linear Regression,0.3995210758628277,0.3079979184931402,0.9442502099476395
Random Forest,0.44641866855363543,0.3528025041799961,0.9303937009747159
Persistence Baseline,0.6461822664871029,0.49705619847972976,0.854160919407984
