date,year,month,season,nino34_sst,oni,enso_phase
2017-05-01,2017,5,AMJ,28.13,0.4,Neutral
2017-06-01,2017,6,MJJ,27.97,0.39,Neutral
2017-07-01,2017,7,JJA,27.43,0.19,Neutral
2017-08-01,2017,8,JAS,26.84,-0.07,Neutral
2017-09-01,2017,9,ASO,26.38,-0.34,Neutral
2017-10-01,2017,10,SON,26.06,-0.6,La Niña
2017-11-01,2017,11,OND,25.84,-0.77,La Niña
2017-12-01,2017,12,NDJ,25.64,-0.86,La Niña
2018-01-01,2018,1,DJF,25.72,-0.77,La Niña
2018-02-01,2018,2,JFM,26.02,-0.71,La Niña
2018-03-01,2018,3,FMA,26.6,-0.57,La Niña
2018-04-01,2018,4,MAM,27.18,-0.39,Neutral
2018-05-01,2018,5,AMJ,27.61,-0.13,Neutral
2018-06-01,2018,6,MJJ,27.64,0.06,Neutral
2018-07-01,2018,7,JJA,27.38,0.14,Neutral
2018-08-01,2018,8,JAS,27.18,0.27,Neutral
2018-09-01,2018,9,ASO,27.25,0.53,El Niño
2018-10-01,2018,10,SON,27.47,0.81,El Niño
2018-11-01,2018,11,OND,27.57,0.97,El Niño
2018-12-01,2018,12,NDJ,27.43,0.92,El Niño
2019-01-01,2019,1,DJF,27.39,0.89,El Niño
2019-02-01,2019,2,JFM,27.59,0.86,El Niño
2019-03-01,2019,3,FMA,28.01,0.84,El Niño
2019-04-01,2019,4,MAM,28.34,0.77,El Niño
2019-05-01,2019,5,AMJ,28.37,0.64,El Niño
2019-06-01,2019,6,MJJ,28.1,0.52,El Niño
2019-07-01,2019,7,JJA,27.57,0.33,Neutral
2019-08-01,2019,8,JAS,27.1,0.19,Neutral
2019-09-01,2019,9,ASO,26.95,0.23,Neutral
2019-10-01,2019,10,SON,27.06,0.39,Neutral
2019-11-01,2019,11,OND,27.18,0.58,El Niño
2019-12-01,2019,12,NDJ,27.17,0.66,El Niño
2020-01-01,2020,1,DJF,27.14,0.64,El Niño
2020-02-01,2020,2,JFM,27.35,0.63,El Niño
2020-03-01,2020,3,FMA,27.7,0.53,El Niño
2020-04-01,2020,4,MAM,27.87,0.3,Neutral
2020-05-01,2020,5,AMJ,27.75,0.01,Neutral
2020-06-01,2020,6,MJJ,27.35,-0.23,Neutral
2020-07-01,2020,7,JJA,26.88,-0.36,Neutral
2020-08-01,2020,8,JAS,26.38,-0.53,La Niña
2020-09-01,2020,9,ASO,25.87,-0.85,La Niña
2020-10-01,2020,10,SON,25.54,-1.12,La Niña
2020-11-01,2020,11,OND,25.4,-1.2,La Niña
2020-12-01,2020,12,NDJ,25.43,-1.08,La Niña
2021-01-01,2021,1,DJF,25.59,-0.91,La Niña
2021-02-01,2021,2,JFM,25.94,-0.79,La Niña
2021-03-01,2021,3,FMA,26.46,-0.71,La Niña
2021-04-01,2021,4,MAM,27.03,-0.55,La Niña
2021-05-01,2021,5,AMJ,27.35,-0.39,Neutral
2021-06-01,2021,6,MJJ,27.28,-0.3,Neutral
2021-07-01,2021,7,JJA,26.89,-0.35,Neutral
2021-08-01,2021,8,JAS,26.46,-0.45,Neutral
2021-09-01,2021,9,ASO,26.09,-0.63,La Niña
2021-10-01,2021,10,SON,25.9,-0.76,La Niña
2021-11-01,2021,11,OND,25.69,-0.91,La Niña
2021-12-01,2021,12,NDJ,25.63,-0.87,La Niña
2022-01-01,2022,1,DJF,25.67,-0.82,La Niña
2022-02-01,2022,2,JFM,25.94,-0.79,La Niña
2022-03-01,2022,3,FMA,26.31,-0.86,La Niña
2022-04-01,2022,4,MAM,26.62,-0.95,La Niña
2022-05-01,2022,5,AMJ,26.84,-0.9,La Niña
2022-06-01,2022,6,MJJ,26.8,-0.78,La Niña
2022-07-01,2022,7,JJA,26.48,-0.76,La Niña
2022-08-01,2022,8,JAS,26.04,-0.87,La Niña
2022-09-01,2022,9,ASO,25.75,-0.97,La Niña
2022-10-01,2022,10,SON,25.72,-0.94,La Niña
2022-11-01,2022,11,OND,25.76,-0.85,La Niña
2022-12-01,2022,12,NDJ,25.79,-0.71,La Niña
2023-01-01,2023,1,DJF,25.96,-0.54,La Niña
2023-02-01,2023,2,JFM,26.44,-0.29,Neutral
2023-03-01,2023,3,FMA,27.15,-0.02,Neutral
2023-04-01,2023,4,MAM,27.85,0.27,Neutral
2023-05-01,2023,5,AMJ,28.31,0.57,El Niño
2023-06-01,2023,6,MJJ,28.42,0.84,El Niño
2023-07-01,2023,7,JJA,28.36,1.12,El Niño
2023-08-01,2023,8,JAS,28.28,1.37,El Niño
2023-09-01,2023,9,ASO,28.32,1.6,El Niño
2023-10-01,2023,10,SON,28.49,1.83,El Niño
2023-11-01,2023,11,OND,28.6,1.99,El Niño
2023-12-01,2023,12,NDJ,28.57,2.06,El Niño
2024-01-01,2024,1,DJF,28.42,1.92,El Niño
2024-02-01,2024,2,JFM,28.35,1.62,El Niño
2024-03-01,2024,3,FMA,28.43,1.26,El Niño
2024-04-01,2024,4,MAM,28.39,0.82,El Niño
2024-05-01,2024,5,AMJ,28.22,0.49,Neutral
2024-06-01,2024,6,MJJ,27.8,0.22,Neutral
2024-07-01,2024,7,JJA,27.33,0.08,Neutral
2024-08-01,2024,8,JAS,26.85,-0.07,Neutral
2024-09-01,2024,9,ASO,26.55,-0.17,Neutral
2024-10-01,2024,10,SON,26.46,-0.21,Neutral
2024-11-01,2024,11,OND,26.3,-0.3,Neutral
2024-12-01,2024,12,NDJ,26.09,-0.42,Neutral
2025-01-01,2025,1,DJF,26.05,-0.45,Neutral
2025-02-01,2025,2,JFM,26.48,-0.24,Neutral
2025-03-01,2025,3,FMA,27.11,-0.06,Neutral
2025-04-01,2025,4,MAM,27.6,0.02,Neutral
2025-05-01,2025,5,AMJ,27.72,-0.02,Neutral
2025-06-01,2025,6,MJJ,27.54,-0.04,Neutral
2025-07-01,2025,7,JJA,27.1,-0.14,Neutral
2025-08-01,2025,8,JAS,26.63,-0.28,Neutral
2025-09-01,2025,9,ASO,26.32,-0.4,Neutral
2025-10-01,2025,10,SON,26.16,-0.51,La Niña
2025-11-01,2025,11,OND,26.05,-0.55,La Niña
2025-12-01,2025,12,NDJ,25.97,-0.54,La Niña
2026-01-01,2026,1,DJF,26.13,-0.37,Neutral
2026-02-01,2026,2,JFM,26.58,-0.14,Neutral
2026-03-01,2026,3,FMA,27.3,0.13,Neutral
2026-04-01,2026,4,MAM,28.08,0.51,El Niño
2026-05-01,2026,5,AMJ,28.71,0.98,El Niño
