feature,importance
sst_lag_1,0.8943404610194513
cos_day,0.033527738784375614
sst_lag_2,0.017667385018030175
sst_roll_mean_7,0.010598794301396264
oni_lag_1,0.007542232354229609
sin_day,0.007405750129427102
sst_lag_30,0.006840891267722253
sst_roll_mean_30,0.005008467626874574
sst_anomaly_lag_1,0.003839547814932875
sst_lag_14,0.0034406775488828494
sst_roll_std_7,0.0032835050783564883
sst_lag_3,0.003188025791786454
sst_lag_7,0.002545684889107929
month,0.0007708383754263213
